CountryId	Id	Position	Region	Name	Strength	TotalInvestment	Gold	Objective	DeployPolicy	QuarterActionDone	Towns	Memo	
7	16	{"x":-9,"y":5}	"アクアティア"	"クリスタルウォーター"	20.0	2000.0	150.0	{}	0	false	[{"P":{"x":-9,"y":5},"G":75.0},{"P":{"x":-8,"y":5},"G":30.0}]	"ザンダー"	
7	17	{"x":-4,"y":4}	"アクアティア"	"フェンランド"	20.0	2500.0	150.0	{}	0	false	[{"P":{"x":-4,"y":4},"G":45.0},{"P":{"x":-5,"y":5},"G":15.0}]	"ザンダー"	
7	18	{"x":-8,"y":1}	"アクアティア"	"ブラックウォーター"	20.0	1500.0	150.0	{}	0	false	[{"P":{"x":-8,"y":1},"G":90.0},{"P":{"x":-7,"y":1},"G":15.0}]	"ザンダー"	
8	19	{"x":-1,"y":2}	"南シルヴァニア"	"レッドクリフ"	30.0	3000.0	150.0	{}	0	false	[{"P":{"x":-1,"y":2},"G":60.0},{"P":{"x":-2,"y":1},"G":15.0},{"P":{"x":-2,"y":2},"G":15.0}]	"ウィリアム"	
8	20	{"x":-5,"y":-1}	"南シルヴァニア"	"ニューポイント"	30.0	2000.0	150.0	{}	0	false	[{"P":{"x":-5,"y":-1},"G":60.0},{"P":{"x":-6,"y":-1},"G":15.0}]	"ウィリアム"	
9	21	{"x":10,"y":2}	"ドラコニア"	"イーグルズネスト"	40.0	1500.0	150.0	{}	0	false	[{"P":{"x":10,"y":2},"G":60.0},{"P":{"x":9,"y":1},"G":15.0}]	"ザフィール"	
10	22	{"x":-1,"y":12}	"フラクタリア"	"ストームベイ"	10.0	1000.0	150.0	{}	0	false	[{"P":{"x":-1,"y":12},"G":60.0}]	"ナディア"	
10	23	{"x":-4,"y":10}	"フラクタリア"	"クロコダイルベイ"	0.0	1000.0	150.0	{}	0	false	[{"P":{"x":-4,"y":10},"G":60.0}]	"ナディア"	
10	24	{"x":-6,"y":7}	"フラクタリア"	"ミラージュベイ"	0.0	1000.0	150.0	{}	0	false	[{"P":{"x":-6,"y":7},"G":60.0}]	"ナディア"	
11	25	{"x":4,"y":9}	"フェルティリア"	"リヴァーベンド"	20.0	2000.0	150.0	{}	0	false	[{"P":{"x":4,"y":9},"G":60.0},{"P":{"x":5,"y":10},"G":15.0}]	"カリオペ"	
11	26	{"x":2,"y":4}	"フェルティリア"	"キングスポート"	30.0	2000.0	150.0	{}	0	false	[{"P":{"x":2,"y":4},"G":75.0},{"P":{"x":1,"y":5},"G":15.0}]	"カリオペ"	
11	27	{"x":5,"y":5}	"フェルティリア"	"ウォーターフォード"	30.0	2500.0	150.0	{}	0	false	[{"P":{"x":5,"y":5},"G":90.0},{"P":{"x":6,"y":6},"G":15.0}]	"カリオペ"	
12	28	{"x":11,"y":10}	"ルナリア"	"シルバーフィールド"	20.0	1800.0	150.0	{}	0	false	[{"P":{"x":11,"y":10},"G":60.0},{"P":{"x":10,"y":9},"G":15.0}]	"フリージア"	
12	29	{"x":8,"y":7}	"ルナリア"	"グレイウッド"	20.0	1800.0	150.0	{}	0	false	[{"P":{"x":8,"y":7},"G":60.0},{"P":{"x":8,"y":6},"G":15.0}]	"フリージア"	
13	30	{"x":-10,"y":14}	"ラクストリア"	"サンドゲート"	20.0	1500.0	150.0	{}	0	false	[{"P":{"x":-10,"y":14},"G":30.0},{"P":{"x":-10,"y":13},"G":15.0}]	"セレスト"	
13	31	{"x":-5,"y":14}	"ラクストリア"	"ソルトウィンド"	30.0	2000.0	150.0	{}	0	false	[{"P":{"x":-5,"y":14},"G":75.0},{"P":{"x":-5,"y":13},"G":15.0}]	"セレスト"	
13	32	{"x":-10,"y":9}	"ラクストリア"	"ブルーハーバー"	30.0	2000.0	150.0	{}	0	false	[{"P":{"x":-10,"y":9},"G":75.0},{"P":{"x":-9,"y":8},"G":30.0}]	"セレスト"	
14	33	{"x":2,"y":14}	"ウルテリア"	"シーウォール"	0.0	800.0	150.0	{}	0	false	[{"P":{"x":2,"y":14},"G":45.0}]	"ケルベロス"	
15	34	{"x":5,"y":15}	"ウルテリア"	"ローワーランド"	0.0	800.0	150.0	{}	0	false	[{"P":{"x":5,"y":15},"G":45.0},{"P":{"x":6,"y":14},"G":15.0}]	"イリス"	
15	35	{"x":8,"y":13}	"ウルテリア"	"アッパーランド"	20.0	1500.0	150.0	{}	0	false	[{"P":{"x":8,"y":13},"G":60.0},{"P":{"x":9,"y":13},"G":15.0}]	"イリス"	
16	36	{"x":12,"y":14}	"ルナリア"	"ミストランド"	10.0	800.0	150.0	{}	0	false	[{"P":{"x":12,"y":14},"G":15.0},{"P":{"x":12,"y":12},"G":30.0}]	"アトラス"
